,Neighborhood,Latitude,Longitude,Area,TotalPop,Population Density,Men,Women,Hispanic,White,Black,Asian,Income,Poverty,Walk,MeanCommute,Unemployment
0,Clinton,40.764174558211174,-73.99239485428079,7.092697122077068,43450,6126.019376289938,54.69,45.31,21.22,55.45,5.52,14.9,79494.05,12.58,36.24,27.45,6.72
1,Battery Park City-Lower Manhattan,40.70854703988593,-74.01091566944059,7.344585912917975,44436,6050.17090505321,48.55,51.45,8.66,65.33,2.68,20.43,135072.58,7.38,29.12,25.26,3.75
2,Lincoln Square,40.77485483247244,-73.98470074235682,6.105156421708337,59921,9814.818140766487,46.72,53.28,9.51,74.22,2.72,10.68,122296.16,8.08,18.44,28.38,4.82
3,Midtown-Midtown South,40.75574219485189,-73.98350446547151,11.66201397321978,28080,2407.817385957681,48.28,51.72,7.53,65.05,3.74,20.95,125437.65,13.86,42.67,22.89,5.38
4,Upper East Side-Carnegie Hill,40.77473812234651,-73.96117553340753,7.75059347176645,58161,7504.070522066027,44.65,55.35,6.1,84.7,1.07,5.77,164660.74,5.16,18.37,27.09,3.76
5,Central Harlem North-Polo Grounds,40.818265454767364,-73.94077327715469,9.812536531002042,82898,8448.17236991571,46.7,53.3,24.49,8.68,61.55,2.14,35470.52,29.08,8.95,37.23,15.99
6,Yorkville,40.777296322106416,-73.94879311078256,5.254022998074535,81831,15574.922308103518,42.82,57.18,9.41,77.19,2.85,7.95,101431.05,6.69,12.93,33.47,4.52
7,Marble Hill-Inwood,40.86609474467025,-73.91930197766288,6.8495676863255595,52026,7595.5158606381,47.7,52.3,74.99,14.52,6.65,1.86,39654.13,26.89,10.03,42.83,15.46
8,Hudson Yards-Chelsea-Flatiron-Union Square,40.74759373266848,-73.99902217179908,14.318311887842931,77859,5437.722031052192,51.3,48.7,13.84,62.92,6.26,13.96,105664.81,13.06,28.41,26.15,6.14
9,West Village,40.73305335598129,-74.00154808595445,9.645345722762189,66619,6906.854550872643,50.05,49.95,5.89,79.99,1.92,8.98,114714.2,6.36,25.71,24.25,4.57
10,Upper West Side,40.79038825410436,-73.97390928317763,13.279846565478907,134523,10129.86101433535,44.82,55.18,16.6,65.2,7.78,7.63,96228.75,10.86,9.39,31.64,6.28
11,Hamilton Heights,40.82702199716024,-73.94852306160828,6.217410522323622,51981,8360.554577080304,49.49,50.51,48.46,14.98,29.66,3.14,41389.87,26.96,5.74,38.89,10.93
12,East Harlem South,40.7900195609178,-73.94575229269233,6.4316156560354845,58604,9111.862887050083,46.03,53.97,43.33,20.12,24.26,9.84,39755.0,27.06,16.46,33.41,12.43
13,Turtle Bay-East Midtown,40.7543256949796,-73.9690225945081,6.716864833685905,49761,7408.3670331495205,45.22,54.78,6.21,75.33,1.71,14.92,122819.29,5.95,39.36,27.07,3.75
14,Lenox Hill-Roosevelt Island,40.766238051721345,-73.957232584561,8.308067710299044,80705,9714.05178847478,44.51,55.49,7.79,73.34,4.18,11.89,103404.15,7.71,26.98,30.12,3.89
15,Central Harlem South,40.804340759853424,-73.95129475669724,5.577411904131129,48993,8784.181775011348,46.1,53.9,20.19,19.31,53.06,4.82,48798.28,27.55,7.19,34.5,8.26
16,East Harlem North,40.801177462673834,-73.93735195444044,9.461577576654973,61377,6486.9731820873685,46.2,53.8,50.19,7.86,34.2,5.28,27908.67,37.16,10.59,35.05,10.79
17,East Village,40.72762859362988,-73.98593605488324,4.208089363490056,43217,10269.98152058187,49.28,50.72,10.53,68.05,4.8,14.1,80875.33,15.5,24.48,28.67,5.58
18,Lower East Side,40.71785390189252,-73.98093654150745,8.998844672710874,75428,8381.964879195715,45.96,54.04,39.47,20.42,11.2,25.28,33225.26,31.75,25.67,33.63,10.14
19,Murray Hill-Kips Bay,40.74424449761946,-73.97753482149466,5.595419395775395,47696,8524.1152854442,47.09,52.91,11.58,63.42,4.43,17.72,96025.88,13.0,40.16,26.13,4.74
20,Gramercy,40.736832609448015,-73.98405574184007,2.907391517078935,27748,9543.950251281774,44.27,55.73,6.98,70.99,4.48,14.3,103698.58,9.37,25.26,23.84,7.26
21,Stuyvesant Town-Cooper Village,40.731830191090104,-73.97659858971676,2.1562382211822326,21263,9861.155317218067,43.54,56.46,7.24,72.72,3.64,14.29,96176.9,12.6,22.25,29.94,3.34
22,Manhattanville,40.817983844896425,-73.95378343055474,4.112617655069429,23887,5808.222889515544,46.4,53.6,54.7,9.8,30.96,3.01,30676.86,33.86,6.9,39.09,8.76
23,Morningside Heights,40.80789451966003,-73.96254509314575,7.785569996649093,55281,7100.443515862413,44.36,55.64,21.2,47.95,12.19,15.62,67335.67,23.38,25.28,29.65,6.84
24,SoHo-TriBeCa-Civic Center-Little Italy,40.720774379047135,-74.0047489496245,9.669305652453163,42212,4365.56682736475,50.0,50.0,6.4,65.24,2.35,21.4,74070.4,9.35,23.19,25.15,4.86
25,Chinatown,40.715615319436154,-73.99463098528844,5.601613709264466,45325,8091.418357720263,51.48,48.52,13.5,17.22,4.82,59.84,38425.29,28.91,30.7,31.0,8.22
26,Washington Heights North,40.85711453793016,-73.93283481755947,8.755676971685874,72794,8313.920241164833,48.76,51.24,64.95,25.68,5.01,2.87,50373.29,21.26,12.16,41.3,11.74
27,Washington Heights South,40.8417158751214,-73.94139985234656,8.91998096077255,91667,10276.591441520388,49.51,50.49,72.74,11.67,10.81,2.98,38944.6,28.09,13.29,37.21,13.72
